zone_id,billing_month,billed_kilo_liters,revenue_expected,collection_rate,revenue_collected
Z01,2023-01-01,124765.9,230816.92,0.949,219045.26
Z01,2023-02-01,119028.8,220203.28,0.903,198843.56
Z01,2023-03-01,151976.7,281156.9,0.844,237296.42
Z01,2023-04-01,178625.7,330457.55,0.978,323187.48
Z01,2023-05-01,216104.7,399793.7,0.995,397794.73
Z01,2023-06-01,231105.8,427545.73,0.97,414719.36
Z01,2023-07-01,257725.5,476792.18,0.931,443893.52
Z01,2023-08-01,240357.2,444660.82,0.924,410866.6
Z01,2023-09-01,214104.4,396093.14,0.909,360048.66
Z01,2023-10-01,184585.4,341482.99,0.918,313481.38
Z01,2023-11-01,147123.5,272178.48,0.941,256119.95
Z01,2023-12-01,134450.5,248733.43,0.945,235053.09
Z01,2024-01-01,125675.0,232498.75,0.933,216921.33
Z01,2024-02-01,125746.5,232631.03,0.746,173542.75
Z01,2024-03-01,154496.8,285819.08,0.968,276672.87
Z01,2024-04-01,181903.7,336521.85,0.92,309600.1
Z01,2024-05-01,222798.8,412177.78,0.842,347053.69
Z01,2024-06-01,240522.8,444967.18,0.92,409369.81
Z01,2024-07-01,258869.7,478908.95,0.925,442990.78
Z01,2024-08-01,245059.5,453360.08,0.831,376742.23
Z01,2024-09-01,216830.9,401137.17,0.878,352198.44
Z01,2024-10-01,188978.0,349609.3,0.855,298915.95
Z01,2024-11-01,151812.7,280853.5,0.861,241814.86
Z01,2024-12-01,136154.5,251885.83,0.939,236520.79
Z01,2025-01-01,130328.7,241108.1,0.879,211934.02
Z01,2025-02-01,124510.7,230344.8,0.915,210765.49
Z01,2025-03-01,157839.6,292003.26,0.947,276527.09
Z01,2025-04-01,185942.6,343993.81,0.888,305466.5
Z01,2025-05-01,226695.4,419386.49,0.949,397997.78
Z01,2025-06-01,244818.7,452914.6,0.978,442950.48
Z01,2025-07-01,261198.0,483216.3,0.952,460021.92
Z01,2025-08-01,257652.1,476656.39,0.94,448057.01
Z01,2025-09-01,220580.4,408073.74,0.953,388894.27
Z01,2025-10-01,190256.4,351974.34,0.93,327336.14
Z01,2025-11-01,157706.2,291756.47,0.952,277752.16
Z01,2025-12-01,140167.0,259308.95,0.851,220671.92
Z02,2023-01-01,175594.6,324850.01,0.906,294314.11
Z02,2023-02-01,166896.9,308759.27,0.93,287146.12
Z02,2023-03-01,213804.7,395538.7,0.906,358358.06
Z02,2023-04-01,248370.2,459484.87,1.0,459484.87
Z02,2023-05-01,308184.1,570140.58,0.9,513126.52
Z02,2023-06-01,338024.5,625345.33,0.821,513408.52
Z02,2023-07-01,360558.5,667033.22,0.913,609001.33
Z02,2023-08-01,344413.2,637164.42,0.951,605943.36
Z02,2023-09-01,300606.0,556121.1,0.866,481600.87
Z02,2023-10-01,259832.8,480690.68,0.908,436467.14
Z02,2023-11-01,213550.7,395068.8,0.906,357932.33
Z02,2023-12-01,191915.9,355044.41,0.907,322025.28
Z02,2024-01-01,182920.9,338403.66,0.88,297795.22
Z02,2024-02-01,179653.5,332358.98,0.965,320726.42
Z02,2024-03-01,226346.7,418741.4,1.0,418741.4
Z02,2024-04-01,260742.9,482374.36,0.868,418700.94
Z02,2024-05-01,321095.5,594026.68,0.845,501952.54
Z02,2024-06-01,350998.1,649346.48,0.888,576619.67
Z02,2024-07-01,370460.1,685351.18,0.98,671644.16
Z02,2024-08-01,354837.2,656448.82,0.897,588834.59
Z02,2024-09-01,307893.8,569603.53,0.928,528592.08
Z02,2024-10-01,273588.9,506139.47,0.864,437304.5
Z02,2024-11-01,218195.1,403660.94,0.999,403257.28
Z02,2024-12-01,195492.3,361660.76,0.895,323686.38
Z02,2025-01-01,187580.8,347024.48,0.922,319956.57
Z02,2025-02-01,177680.4,328708.74,0.87,285976.6
Z02,2025-03-01,229007.4,423663.69,0.865,366469.09
