date,zone_id,population_est,billed_consumption_liters,production_volume_liters,avg_pressure_bar
2023-01-01,Z01,48000,4532180,5085205,3.47
2023-01-02,Z01,48000,4028075,4519588,3.59
2023-01-03,Z01,48000,3782594,4244154,3.45
2023-01-04,Z01,48000,3927612,4406867,2.91
2023-01-05,Z01,48000,4102327,4602901,4.27
2023-01-06,Z01,48000,3880766,4354305,2.92
2023-01-07,Z01,48000,4217635,4732279,2.63
2023-01-08,Z01,48000,4595925,5156728,2.91
2023-01-09,Z01,48000,3902317,4378485,3.84
2023-01-10,Z01,48000,3758095,4216665,3.47
2023-01-11,Z01,48000,4104093,4604882,3.21
2023-01-12,Z01,48000,3680026,4129070,3.86
2023-01-13,Z01,48000,3763479,4222705,3.77
2023-01-14,Z01,48000,4088606,4587506,2.45
2023-01-15,Z01,48000,4329134,4857383,3.86
2023-01-16,Z01,48000,3818926,4284919,4.19
2023-01-17,Z01,48000,3525574,3955771,3.54
2023-01-18,Z01,48000,3898343,4374026,3.48
2023-01-19,Z01,48000,4024263,4515311,4.55
2023-01-20,Z01,48000,3691428,4141863,3.25
2023-01-21,Z01,48000,4431004,4971683,3.52
2023-01-22,Z01,48000,3987372,4473919,3.77
2023-01-23,Z01,48000,3730282,4185458,3.62
2023-01-24,Z01,48000,3719579,4173449,3.46
2023-01-25,Z01,48000,4052116,4546563,3.64
2023-01-26,Z01,48000,4364701,4897290,4.38
2023-01-27,Z01,48000,3966087,4450036,4.0
2023-01-28,Z01,48000,4509909,5060216,3.56
2023-01-29,Z01,48000,4071604,4568429,3.17
2023-01-30,Z01,48000,4104313,4605129,3.23
2023-01-31,Z01,48000,4177508,4687256,4.08
2023-02-01,Z01,48000,4028647,4520230,2.8
2023-02-02,Z01,48000,3845873,4315153,4.8
2023-02-03,Z01,48000,4194340,4706141,3.58
2023-02-04,Z01,48000,4617852,5181331,2.91
2023-02-05,Z01,48000,4357916,4889678,3.69
2023-02-06,Z01,48000,4228839,4744850,3.2
2023-02-07,Z01,48000,3899822,4375686,3.39
2023-02-08,Z01,48000,4211477,4725370,2.84
2023-02-09,Z01,48000,3821824,4288171,3.48
2023-02-10,Z01,48000,3830454,4297853,2.54
2023-02-11,Z01,48000,4342423,4872293,3.3
2023-02-12,Z01,48000,4556188,5112143,3.19
2023-02-13,Z01,48000,4060203,4555637,3.35
2023-02-14,Z01,48000,3995338,4482857,3.22
2023-02-15,Z01,48000,4073183,4570201,3.62
2023-02-16,Z01,48000,4006582,4495473,4.04
2023-02-17,Z01,48000,3924951,4403881,3.78
2023-02-18,Z01,48000,4545534,5100189,4.25
2023-02-19,Z01,48000,4677278,5248009,3.35
