incident_id,zone_id,pipe_id,reported_date,resolved_date,severity,estimated_volume_lost_liters
L0001,Z01,P0002,2023-03-22,2023-04-05,Low,4298044
L0002,Z01,P0008,2025-04-09,2025-04-17,Medium,5557996
L0003,Z01,P0008,2025-05-10,2025-05-30,Low,7016523
L0004,Z02,P0011,2023-02-01,2023-02-06,Medium,3197208
L0005,Z02,P0013,2025-11-01,2025-11-06,Medium,5171998
L0006,Z02,P0012,2023-11-12,2023-11-29,High,29346379
L0007,Z03,P0028,2023-01-25,2023-02-10,Low,2827335
L0008,Z03,P0026,2025-07-14,2025-07-26,High,12504208
L0009,Z03,P0020,2024-05-08,2024-05-23,Low,3524594
L0010,Z03,P0026,2023-11-02,2023-11-17,Low,2444406
L0011,Z04,P0036,2025-02-16,2025-02-26,Low,1088136
L0012,Z04,P0030,2024-07-27,2024-08-13,Medium,8027062
L0013,Z04,P0034,2025-05-12,2025-05-19,Medium,2313755
L0014,Z05,P0043,2025-11-05,2025-11-11,Low,718426
L0015,Z05,P0039,2024-09-23,2024-10-06,Low,2532156
L0016,Z05,P0048,2025-07-27,2025-08-11,Medium,8769070
L0017,Z06,P0049,2025-03-21,2025-04-10,Low,1924373
L0018,Z06,P0054,2024-08-04,2024-08-13,Medium,3456853
L0019,Z07,P0066,2025-05-29,2025-06-07,Low,2419302
L0020,Z07,P0062,2025-08-25,2025-09-10,Medium,12096467
L0021,Z07,P0062,2024-05-01,2024-05-14,High,12931229
L0022,Z07,P0065,2025-07-07,2025-07-19,Medium,8830191
L0023,Z08,P0069,2024-11-13,2024-11-29,Medium,5279298
L0024,Z08,P0072,2024-09-08,2024-09-23,Medium,5018836
