pipe_id,zone_id,length_km,diameter_mm,material,install_year,avg_pressure_bar
P0001,Z01,3.79,300,Cast Iron,1990,2.8
P0002,Z01,2.72,400,Ductile Iron,2013,4.21
P0003,Z01,3.53,400,HDPE,1985,5.4
P0004,Z01,4.07,300,HDPE,2008,3.63
P0005,Z01,0.68,100,Cast Iron,1973,4.39
P0006,Z01,3.48,150,Asbestos Cement,1988,3.3
P0007,Z01,2.38,150,HDPE,1975,2.45
P0008,Z01,2.4,150,PVC,1997,3.53
P0009,Z01,3.83,300,HDPE,2004,3.09
P0010,Z01,3.83,200,Asbestos Cement,2012,3.01
P0011,Z02,3.23,300,Ductile Iron,2012,2.03
P0012,Z02,3.65,100,HDPE,2002,4.47
P0013,Z02,3.62,200,Cast Iron,1993,2.49
P0014,Z02,0.96,200,Cast Iron,2003,3.65
P0015,Z02,2.76,100,HDPE,1997,3.94
P0016,Z02,2.74,300,HDPE,1982,2.11
P0017,Z02,2.25,400,PVC,1980,4.99
P0018,Z02,1.44,200,Asbestos Cement,1968,2.98
P0019,Z03,3.15,150,Ductile Iron,1996,4.74
P0020,Z03,3.16,200,Cast Iron,1988,2.58
P0021,Z03,0.59,400,Ductile Iron,1970,4.53
P0022,Z03,2.35,300,Ductile Iron,2016,2.53
P0023,Z03,3.29,200,Cast Iron,1990,3.33
P0024,Z03,1.71,300,HDPE,1999,2.31
P0025,Z03,0.97,150,PVC,2019,5.18
P0026,Z03,3.3,200,PVC,2008,4.73
P0027,Z03,3.37,400,HDPE,1990,2.95
P0028,Z03,0.89,200,Asbestos Cement,1972,2.71
P0029,Z03,1.72,200,Asbestos Cement,1998,2.62
P0030,Z04,3.53,400,Cast Iron,2006,3.51
P0031,Z04,3.01,100,Cast Iron,1970,2.3
P0032,Z04,2.16,300,HDPE,1967,3.73
P0033,Z04,1.82,300,Ductile Iron,2003,4.06
P0034,Z04,1.18,100,PVC,2017,4.03
P0035,Z04,1.89,300,Cast Iron,1981,5.35
P0036,Z04,2.43,100,Cast Iron,2009,2.29
P0037,Z04,2.45,300,Cast Iron,1990,4.0
P0038,Z05,2.39,400,PVC,2019,3.82
P0039,Z05,2.26,150,PVC,1966,4.89
P0040,Z05,4.08,200,Ductile Iron,1982,2.38
P0041,Z05,3.19,200,Ductile Iron,1981,4.31
P0042,Z05,3.41,400,HDPE,1983,5.21
P0043,Z05,1.42,100,PVC,1967,3.94
P0044,Z05,1.98,150,Asbestos Cement,1991,3.11
P0045,Z05,4.31,400,HDPE,1981,3.8
P0046,Z05,1.52,400,Asbestos Cement,1975,2.16
P0047,Z05,2.24,100,Asbestos Cement,2021,5.12
P0048,Z05,3.49,400,Asbestos Cement,1977,3.82
P0049,Z06,1.76,100,HDPE,1984,3.31
P0050,Z06,0.88,300,HDPE,2007,2.92
P0051,Z06,4.25,400,PVC,1966,4.91
P0052,Z06,1.11,100,HDPE,1975,4.1
P0053,Z06,4.0,100,Ductile Iron,1980,4.72
P0054,Z06,4.39,150,Cast Iron,1993,2.5
P0055,Z06,0.56,100,PVC,1980,4.37
P0056,Z06,0.99,100,PVC,1993,4.43
P0057,Z06,2.82,200,Ductile Iron,2014,4.5
P0058,Z06,3.46,400,Asbestos Cement,1972,2.43
P0059,Z06,4.21,100,PVC,2020,3.71
P0060,Z07,3.15,150,Asbestos Cement,1994,5.24
P0061,Z07,0.6,150,Cast Iron,1996,4.22
P0062,Z07,0.92,300,Ductile Iron,2007,5.38
P0063,Z07,2.88,200,Ductile Iron,2018,4.82
P0064,Z07,2.37,300,HDPE,2013,2.38
P0065,Z07,3.82,100,PVC,2010,2.81
P0066,Z07,2.62,300,HDPE,2018,4.11
P0067,Z08,2.15,100,PVC,2017,4.28
P0068,Z08,3.97,200,PVC,1990,2.87
P0069,Z08,1.45,400,HDPE,2012,2.37
P0070,Z08,0.77,400,Cast Iron,1998,2.51
P0071,Z08,3.8,150,PVC,2017,5.22
P0072,Z08,1.16,100,Ductile Iron,1981,2.54
P0073,Z08,0.96,200,Ductile Iron,2005,2.61
P0074,Z08,0.71,100,Cast Iron,1998,4.38
P0075,Z08,2.07,400,PVC,2021,5.06
P0076,Z08,3.9,200,Cast Iron,1967,2.64
P0077,Z08,1.45,150,PVC,2001,3.46
