date,zone_id,temp_c,rainfall_mm,humidity_pct
2023-01-01,Z01,5.0,15.6,67.8
2023-01-02,Z01,4.1,5.4,61.8
2023-01-03,Z01,1.3,1.9,68.4
2023-01-04,Z01,2.4,1.2,70.4
2023-01-05,Z01,3.7,0.1,78.3
2023-01-06,Z01,3.4,7.8,69.5
2023-01-07,Z01,2.7,20.8,57.5
2023-01-08,Z01,3.1,0.0,68.8
2023-01-09,Z01,2.8,0.4,83.0
2023-01-10,Z01,3.5,0.5,73.7
2023-01-11,Z01,5.9,22.2,65.4
2023-01-12,Z01,-1.4,0.2,72.5
2023-01-13,Z01,2.8,0.4,65.9
2023-01-14,Z01,3.6,17.9,62.9
2023-01-15,Z01,3.8,4.0,68.0
2023-01-16,Z01,2.7,8.8,70.2
2023-01-17,Z01,0.2,12.7,60.4
2023-01-18,Z01,4.0,1.2,64.1
2023-01-19,Z01,6.5,0.5,69.9
2023-01-20,Z01,0.7,24.8,67.9
2023-01-21,Z01,5.0,7.6,71.9
2023-01-22,Z01,2.9,0.3,63.9
2023-01-23,Z01,3.5,4.5,73.5
2023-01-24,Z01,1.7,6.0,64.1
2023-01-25,Z01,3.1,0.1,78.2
2023-01-26,Z01,6.1,2.6,61.4
2023-01-27,Z01,4.8,1.8,64.5
2023-01-28,Z01,7.0,2.2,72.1
2023-01-29,Z01,6.0,0.0,78.3
2023-01-30,Z01,4.8,0.5,71.5
2023-01-31,Z01,7.2,0.0,72.8
2023-02-01,Z01,4.9,2.1,70.0
2023-02-02,Z01,5.7,9.9,64.8
2023-02-03,Z01,3.7,8.0,67.4
2023-02-04,Z01,4.5,4.2,63.8
2023-02-05,Z01,3.2,4.1,63.4
2023-02-06,Z01,6.3,4.6,71.8
2023-02-07,Z01,2.5,1.7,64.1
2023-02-08,Z01,6.1,2.4,71.2
2023-02-09,Z01,4.5,6.7,63.1
2023-02-10,Z01,7.0,0.4,71.0
2023-02-11,Z01,6.4,6.7,67.0
2023-02-12,Z01,8.4,0.4,76.4
2023-02-13,Z01,6.5,2.7,70.9
2023-02-14,Z01,2.5,7.1,75.4
2023-02-15,Z01,5.3,0.3,65.4
2023-02-16,Z01,3.4,2.1,69.3
2023-02-17,Z01,4.7,0.7,64.1
2023-02-18,Z01,8.5,0.2,66.8
2023-02-19,Z01,7.1,5.4,67.5
2023-02-20,Z01,4.8,2.1,65.0
2023-02-21,Z01,4.3,6.6,62.5
2023-02-22,Z01,6.3,1.9,61.4
2023-02-23,Z01,4.2,0.5,56.6
2023-02-24,Z01,5.3,0.3,62.9
2023-02-25,Z01,7.3,1.4,71.2
2023-02-26,Z01,8.9,6.6,60.0
2023-02-27,Z01,8.1,0.7,61.0
2023-02-28,Z01,3.0,1.7,76.6
2023-03-01,Z01,7.8,1.2,64.4
2023-03-02,Z01,7.5,6.8,69.0
2023-03-03,Z01,8.3,2.2,70.5
2023-03-04,Z01,10.6,12.0,70.4
2023-03-05,Z01,4.1,16.2,59.3
2023-03-06,Z01,6.9,0.0,65.6
2023-03-07,Z01,9.2,2.1,58.5
2023-03-08,Z01,5.5,2.9,78.7
2023-03-09,Z01,11.1,9.8,58.3
2023-03-10,Z01,9.3,0.4,60.9
2023-03-11,Z01,10.3,10.3,60.7
2023-03-12,Z01,8.0,0.8,58.3
2023-03-13,Z01,10.6,0.6,72.3
2023-03-14,Z01,11.2,20.4,77.5
2023-03-15,Z01,9.9,0.2,62.8
2023-03-16,Z01,10.1,0.0,58.4
2023-03-17,Z01,10.3,1.4,53.6
2023-03-18,Z01,8.4,4.4,63.4
2023-03-19,Z01,9.9,0.3,62.8
2023-03-20,Z01,10.1,0.6,61.0
2023-03-21,Z01,11.2,0.2,65.1
2023-03-22,Z01,12.5,8.0,65.8
2023-03-23,Z01,9.0,0.6,65.2
2023-03-24,Z01,10.8,0.6,61.8
2023-03-25,Z01,13.9,6.5,57.7
2023-03-26,Z01,10.1,1.1,66.3
2023-03-27,Z01,10.1,2.6,62.8
2023-03-28,Z01,12.2,0.3,67.0
2023-03-29,Z01,13.5,7.5,66.2
2023-03-30,Z01,12.2,1.2,55.0
2023-03-31,Z01,14.8,1.1,54.7
2023-04-01,Z01,14.1,0.3,57.8
2023-04-02,Z01,14.3,1.7,56.1
2023-04-03,Z01,13.9,3.3,64.9
2023-04-04,Z01,17.3,1.2,62.7
2023-04-05,Z01,12.9,5.4,66.2
